name,F,M,source
Allyson,6,0,ni
Allyssa,6,0,ni
Alma,8,0,ni
Almanzo,0,2,ni
Almha,4,0,ni
Almustapha,0,2,ni
Aln,0,2,ni
Alodie,2,0,ni
Aloise,4,0,ni
Aloisia,4,0,ni
Alona,4,0,ni
Alonna,2,0,ni
Alonse,0,2,ni
Alonso,0,4,ni
Alora,8,0,ni
Alore,0,2,ni
Aloysius,0,4,ni
Alpha-Lily,2,0,ni
Alphie,0,2,ni
Alphin,0,2,ni
Alphonsa,2,0,ni
Alphonse,0,2,ni
Alphonsus,0,4,ni
Alphy,0,4,ni
Alroy,0,2,ni
Alsu,2,0,ni
Alsyia,2,0,ni
Altan,0,4,ni
Altay,0,4,ni
Althea,6,0,ni
Aluma,2,0,ni
Alva,6,0,ni
Alveena,2,0,ni
Alvena,2,0,ni
Alvia,2,0,ni
Alvin,2,16,ni
Alvio,0,2,ni
Alvyn,0,2,ni
Alwin,0,2,ni
Alwyn,0,10,ni
Alwynn,0,2,ni
Alya,2,0,ni
Alyah,2,0,ni
Alyanna,2,0,ni
Alyce,2,0,ni
Alycia,10,0,ni
Alyd,0,2,ni
Alyda,2,0,ni
Alyea,2,0,ni
Alyese,2,0,ni
Alyessa,2,0,ni
Alyia,2,0,ni
Alymer,0,2,ni
Alyna,2,0,ni
Alys,16,0,ni
Alysa,4,0,ni
Alysah-Jayne,2,0,ni
Alyscia,2,0,ni
Alysha,45,0,ni
